date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:34:17	5210/5210	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2019:05:42%20GMT	https://pussy.financial/home/	E:/my%20web/pussy/pussy.financial/home/index.html	(from )
11:34:17	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jun%202021%2006:04:18%20GMT	https://pussy.financial/robots.txt		(from )
11:34:17	62/62	---MCZ	302	error ('Found')	text/plain	date:Mon,%2021%20Jun%202021%2006:04:19%20GMT	https://unpkg.com/tailwindcss@^2/dist/tailwind.min.css	E:/my%20web/pussy/unpkg.com/tailwindcss@^2/dist/tailwind.min.0.delayed	(from https://pussy.financial/home/)
11:34:19	2929268/2929268	---MCZ	200	added ('OK')	text/css	etag:%222cb274-eRZ1+i2F1hj2RhFVAwN/NGu5K0g%22	https://unpkg.com/tailwindcss@2.2.2/dist/tailwind.min.css	E:/my%20web/pussy/unpkg.com/tailwindcss@2.2.2/dist/tailwind.min.css	(from https://pussy.financial/home/)
11:34:19	15406/15406	---M-Z	200	added ('OK')	image/x-icon	etag:%223c2e-5c4aff8244240-gzip%22	https://pussy.financial/home/favicon.ico	E:/my%20web/pussy/pussy.financial/home/favicon.ico	(from https://pussy.financial/home/)
11:34:19	1900/1900	---MCZ	200	added ('OK')	text/css	etag:W/%22d85-5c4b03588cfc0-gzip%22	https://pussy.financial/home/styles/main.css	E:/my%20web/pussy/pussy.financial/home/styles/main.css	(from https://pussy.financial/home/)
11:34:19	35662/35662	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2021%20Jun%202021%2006:04:21%20GMT	https://pussy.financial/cdn-cgi/bm/cv/669835187/api.js	E:/my%20web/pussy/pussy.financial/cdn-cgi/bm/cv/669835187/api.js	(from https://pussy.financial/home/)
11:34:20	680496/680496	---MCZ	200	added ('OK')	application/javascript	etag:W/%22668aad8c7d9f38f93221a1dcf9f93805%22	https://use.fontawesome.com/releases/v5.0.8/js/all.js	E:/my%20web/pussy/use.fontawesome.com/releases/v5.0.8/js/all.js	(from https://pussy.financial/home/)
11:34:20	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	E:/my%20web/pussy/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://pussy.financial/home/)
11:34:21	7003/7003	---M-Z	200	added ('OK')	image/svg+xml	etag:%221b5b-5c4a070a18bc0-gzip%22	https://pussy.financial/home/images/uniswap-logo.svg	E:/my%20web/pussy/pussy.financial/home/images/uniswap-logo.svg	(from https://pussy.financial/home/)
11:34:21	3536/3536	---M--	200	added ('OK')	image/png	etag:%22dd0-5c4a070a18bc0%22	https://pussy.financial/home/images/pussy-text.png	E:/my%20web/pussy/pussy.financial/home/images/pussy-text.png	(from https://pussy.financial/home/)
11:34:22	582603/582603	---M--	200	added ('OK')	image/png	etag:%228e3cb-5c4a070a18bc0%22	https://pussy.financial/home/images/main-hero-logo3.png	E:/my%20web/pussy/pussy.financial/home/images/main-hero-logo3.png	(from https://pussy.financial/home/)
11:34:25	1148504/1148504	---M--	200	added ('OK')	image/png	etag:%22118658-5c4a070a18bc0%22	https://pussy.financial/home/images/brick-bg.png	E:/my%20web/pussy/pussy.financial/home/images/brick-bg.png	(from https://pussy.financial/home/styles/main.css)
